franchise,player,pos,before_status,after_status,before_salary,after_salary,before_contractYear,after_contractYear,before_contractInfo,after_contractInfo,status_changed,contractInfo_changed,salary_changed
CBP,"Wilson, Garrett",WR,BL,Vet-Ext2-BL,44000,44000,1,1,"CL 2| TCV 68K| AAV 34K| Y1-24, Y2-44| Ext: CBP","CL 2| TCV 68K| AAV 34K| Y1-24, Y2-44| Ext: CBP",Y,,
CBP,"Wilson, Roman",WR,(blank),Rookie-Draft,(blank),2000,(blank),1,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Cleon Ca$h,"Arroyo, Elijah",TE,(blank),Rookie-Draft,(blank),2000,(blank),2,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Cleon Ca$h,"Branch, Zachariah",WR,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
Cleon Ca$h,"Dart, Jaxson",QB,Rookie,Rookie-Draft,9000,9000,2,2,CL 3| TCV 27K| AAV 9K | Option Eligible,CL 3| TCV 27K| AAV 9K | Option Eligible,Y,,
Cleon Ca$h,"Green, Taylen",QB,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
Cleon Ca$h,"Harris, Tre",WR,(blank),Rookie-Draft,(blank),5000,(blank),2,(blank),CL 3| TCV 15K| AAV 5K,Y,Y,Y
Cleon Ca$h,"Herbert, Justin",QB,FL,Vet-FAA-FL,51000,51000,2,2,"CL 3| TCV 153K| AAV 51K| Y1-61, Y2-51, Y3-41","CL 3| TCV 153K| AAV 51K| Y1-61, Y2-51, Y3-41",Y,,
Cleon Ca$h,"Jacas, Gabe",DE,R,Rookie-Draft,1000,1000,3,3,"CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K","CL 3|TCV 3K|AAV 1K|Y1-1K, Y2-1K, Y3-1K|GTD: 2K",Y,,
Cleon Ca$h,"Jeudy, Jerry",WR,FL,Vet-FAA-FL,1000,1000,1,1,"CL 3| TCV 9K| AAV 3K| Y1-7, Y2-1, Y3-1","CL 3| TCV 9K| AAV 3K| Y1-7, Y2-1, Y3-1",Y,,
Cleon Ca$h,"Kraft, Tucker",TE,EXT1,Vet-Ext1,12000,12000,1,1,CL 1|TCV 12K|AAV 12K|Y1-12K|Ext: Cash|GTD: 9K,CL 1|TCV 12K|AAV 12K|Y1-12K|Ext: Cash|GTD: 9K,Y,,
Cleon Ca$h,"Lamb, CeeDee",WR,Veteran,Vet-Ext2,64000,64000,1,1,"CL 3| TCV 172K| AAV 64K| Y1- 44K Y2- 64K Y3- 64K| Ext: L.A. Looks, Cleon","CL 3| TCV 172K| AAV 64K| Y1- 44K Y2- 64K Y3- 64K| Ext: L.A. Looks, Cleon",Y,,
Cleon Ca$h,"Love, Jeremiyah",RB,R,Rookie-Draft,15000,15000,3,3,"CL 3|TCV 45K|AAV 15K|Y1-15K, Y2-15K, Y3-15K|GTD: 33.8K|Keep Option as Y4Option =20K","CL 3|TCV 45K|AAV 15K|Y1-15K, Y2-15K, Y3-15K, Y4-20K Option|GTD: 33.8K",Y,Y,
Cleon Ca$h,"Loveland, Colston",TE,Rookie,Rookie-Draft,5000,5000,2,2,CL 3| TCV 15K| AAV 5K,CL 3| TCV 15K| AAV 5K,Y,,
Cleon Ca$h,"McCarthy, J.J.",QB,Rookie,Rookie-Draft,11000,11000,1,1,CL 3| TCV 33K| AAV 11K,CL 3| TCV 33K| AAV 11K,Y,,
Cleon Ca$h,"McMillan, Jalen",WR,(blank),Rookie-Draft,(blank),2000,(blank),1,(blank),CL 3| TCV 6K| AAV 2K,Y,Y,Y
Cleon Ca$h,"Miller, Jam",RB,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
Cleon Ca$h,"Nabers, Malik",WR,Rookie,Rookie-Draft,13000,13000,1,1,CL 3| TCV 39K| AAV 13K,CL 3| TCV 39K| AAV 13K,Y,,
Cleon Ca$h,"Reese, Arvell",LB,R,Rookie-Draft,2000,2000,3,3,"CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K","CL 3|TCV 6K|AAV 2K|Y1-2K, Y2-2K, Y3-2K|GTD: 4.5K",Y,,
Cleon Ca$h,"Robinson, Bijan",RB,EXT2,Vet-Ext2,35000,35000,2,2,"CL 2|TCV 70K|AAV 35K|Y1-35K, Y2-35K|Ext: Cash|GTD: 52.5K","CL 2|TCV 70K|AAV 35K|Y1-35K, Y2-35K|Ext: Cash|GTD: 52.5K",Y,,
Cleon Ca$h,"Robinson, Wan'Dale",WR,Veteran,Vet-Ext1,22000,22000,1,1,"CL 2| TCV 34K| AAV 22K| Y1-12K, Y2-22K| Ext: Blake, LH","CL 2| TCV 34K| AAV 22K| Y1-12K, Y2-22K| Ext: Blake, LH",Y,,
