projection_season,player_id,player_name,position,nfl_team,adp_segment,normalized_adp,weight,projected_perceived_value,projected_winning_bid,expected_reg_points,expected_reg_ppg,expected_points_per_1000_bid
2026,16241,"Witherspoon, Devon",CB,SEA,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,15911,"Araiza, Matt",PN,KCC,NON_IDP,400.0,0.05,1900.3,1900.3,105.44,7.834,55.486
2026,16384,"Bagent, Tyson",QB,CHI,NON_IDP,400.0,0.05,1900.3,1900.3,191.17,15.162,100.6
2026,16799,"Bethune, Tatum",LB,SFO,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,15861,"Bonitto, Nik",DE,DEN,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,17269,"Chism, Efton",WR,NEP,NON_IDP,400.0,0.05,1900.3,1900.3,99.02,7.342,52.108
2026,15255,"Gainwell, Kenneth",RB,PIT,NON_IDP,15.0,0.2581988897471611,9813.12,9813.12,94.8,7.102,9.661
2026,14224,"Gardner-Johnson, Chauncey",S,CHI,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,13672,"Gesicki, Mike",TE,CIN,NON_IDP,25.083333333333332,0.19966749769191655,7588.57,7588.57,94.49,6.685,12.452
2026,12611,"Goff, Jared",QB,DET,NON_IDP,6.5,0.3922322702763681,14907.19,14907.19,213.64,16.478,14.331
2026,15452,"Hufanga, Talanoa",S,DEN,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,14179,"Love, Julian",S,SEA,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,13130,"McCaffrey, Christian",RB,SFO,NON_IDP,5.5,0.42640143271122083,16205.83,16205.83,133.3,9.665,8.225
2026,15786,"Nailor, Jalen",WR,MIN,NON_IDP,400.0,0.05,1900.3,1900.3,99.02,7.342,52.108
2026,13719,"Pineiro, Eddy",PK,SFO,NON_IDP,400.0,0.05,1900.3,1900.3,59.54,5.803,31.332
2026,14249,"Van Ginkel, Andrew",DE,MIN,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,15742,"Warren, Jaylen",RB,PIT,NON_IDP,11.333333333333334,0.2970442628930023,11289.48,11289.48,103.12,7.656,9.134
2026,15756,"Williams, Jameson",WR,DET,NON_IDP,5.25,0.4364357804719848,16587.19,16587.19,155.49,11.302,9.374
2026,17220,"Borregales, Andres",PK,NEP,NON_IDP,400.0,0.05,1900.3,1900.3,59.54,5.803,31.332
2026,16233,"Carter, Jalen",DT,PHI,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,10700,"Cousins, Kirk",QB,ATL,NON_IDP,21.583333333333332,0.2152488010002526,8180.75,8180.75,195.37,15.408,23.882
2026,10816,"Davis, Demario",LB,NOS,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,9064,"Flacco, Joe",QB,CIN,NON_IDP,25.25,0.19900743804199783,7563.48,7563.48,193.82,15.317,25.626
2026,16778,"Flournoy, Ryan",WR,DAL,NON_IDP,23.583333333333332,0.20591946691637406,7826.18,7826.18,105.79,7.817,13.517
2026,16688,"Guerendo, Isaac",RB,SFO,NON_IDP,25.5,0.19802950859533489,7526.32,7526.32,82.36,6.274,10.943
2026,15254,"Harris, Najee",RB,LAC,NON_IDP,23.333333333333332,0.20701966780270625,7868.0,7868.0,84.19,6.396,10.7
2026,13289,"Hollins, Mack",WR,NEP,NON_IDP,400.0,0.05,1900.3,1900.3,99.02,7.342,52.108
2026,16670,"McKinstry, Kool-Aid",CB,NOS,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,15759,"Metchie, John",WR,NYJ,NON_IDP,400.0,0.05,1900.3,1900.3,99.02,7.342,52.108
2026,16843,"Mevis, Harrison",PK,LAR,NON_IDP,400.0,0.05,1900.3,1900.3,59.54,5.803,31.332
2026,17186,"Moore, Malachi",S,NYJ,IDP,400.0,0.05,2317.92,2317.92,98.55,7.344,42.517
2026,7394,"Rivers, Philip",QB,IND,NON_IDP,400.0,0.05,1900.3,1900.3,191.17,15.162,100.6
2026,13791,"Scott, J.K.",PN,LAC,NON_IDP,400.0,0.05,1900.3,1900.3,105.44,7.834,55.486
