projection_season,franchise_id,team_name,player_id,player_name,position,nfl_team,normalized_adp,points_adp_proxy,expected_reg_points,expected_reg_ppg,action,projected_pool_ind,projected_salary_2026,projected_perceived_value,expected_points_per_1000_bid,points_model_group,points_model_samples,points_model_method
2026,0005,HammerTime 🔨 ⏰,16150,"Stroud, C.J.",QB,HOU,6.166666666666667,63.0,214.83,16.548,rookie_extend_keep,0,18000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0003,Gride,13592,"Darnold, Sam",QB,SEA,6.333333333333333,65.0,214.22,16.512,retain_existing,0,18000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0007,Sex Manther,12611,"Goff, Jared",QB,DET,6.5,67.0,213.64,16.478,expiring_to_pool,1,0,14907.19,14.331,QB,114,inv_sqrt_adp_weighted_linear
2026,0005,HammerTime 🔨 ⏰,15794,"McBride, Trey",TE,ARI,3.5833333333333335,32.0,208.98,15.218,retain_existing,0,35000,0,,TE,124,inv_sqrt_adp_weighted_linear
2026,0005,HammerTime 🔨 ⏰,14056,"Murray, Kyler",QB,ARI,8.416666666666666,90.0,208.42,16.172,expiring_to_pool,1,0,13100.34,15.91,QB,114,inv_sqrt_adp_weighted_linear
2026,0002,CBP,17039,"Shough, Tyler",QB,NOS,8.916666666666666,96.0,207.38,16.111,retain_existing,0,5000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0003,Gride,16148,"Young, Bryce",QB,CAR,9.25,100.0,206.74,16.074,rookie_extend_keep,0,20000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0001,L.A. Looks,9431,"Stafford, Matthew",QB,LAR,9.5,103.0,206.28,16.047,expiring_to_pool,1,0,12330.79,16.729,QB,114,inv_sqrt_adp_weighted_linear
2026,0005,HammerTime 🔨 ⏰,16583,"Penix Jr., Michael",QB,ATL,10.166666666666666,111.0,205.16,15.981,retain_existing,0,5000,0,,QB,114,inv_sqrt_adp_weighted_linear
2026,0006,The Long Haulers,14059,"Jones, Daniel",QB,IND,10.5,115.0,204.64,15.951,expiring_to_pool,1,0,11728.92,17.447,QB,114,inv_sqrt_adp_weighted_linear
2026,0011,Cleon Ca$h,16584,"McCarthy, J.J.",QB,MIN,11.0,121.0,203.91,15.908,retain_existing,0,11000,0,,QB,114,inv_sqrt_adp_weighted_linear
