projection_season,franchise_id,team_name,player_id,player_name,position,nfl_team,status_base,cap_status_factor,salary_base,contract_year_base,contract_status_base,contract_info_base,projected_contract_year,action,projected_salary_2026,tag_eligible_ind,tag_selected_ind,tag_side,tag_salary,rookie_extend_candidate_ind,rookie_extend_selected_ind,rookie_extend_salary,adp_source_season,average_pick,normalized_adp,points_adp_proxy,adp_normalization_source,projected_pool_ind,estimated_market_value,expected_reg_points,expected_reg_ppg,points_model_group,points_model_samples,points_model_method,next_salary_method
2026,0002,CBP,14217,"Barton, Cody",LB,TEN,ROSTER,1.0,1000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,IDP_K,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,2317.92,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,15290,"Collins, Nico",WR,HOU,ROSTER,1.0,16000,3,BL,"CL 3| TCV 110K| AAV 22K, 42K |Y1-16K, Y2-47K, Y3-47K|  Ext: C-Town, CBP",2,retain_existing,47000,0,0,OFFENSE,0,0,0,0,2026,26.0,3.0833333333333335,26.0,sleeper_sf_slot,0,0.0,192.06,13.867,WR,312,inv_sqrt_adp_weighted_linear,remaining_year_index
2026,0002,CBP,14907,"Delpit, Grant",S,CLE,ROSTER,1.0,1000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,IDP_K,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,2317.92,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,16385,"Demercado, Emari",RB,ARI,ROSTER,1.0,10000,1,Veteran,CL 1|,0,expiring_to_pool,0,1,0,OFFENSE,17000,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,1900.3,76.9,5.91,RB,256,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,14322,"Edwards, T.J.",LB,CHI,ROSTER,1.0,1000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,IDP_K,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,2317.92,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,17081,"Egbuka, Emeka",WR,TBB,ROSTER,1.0,5000,3,Rookie,CL 3| TCV 15K| AAV 5K,2,retain_existing,5000,0,0,OFFENSE,0,0,0,0,2026,44.0,4.583333333333333,44.0,sleeper_sf_slot,0,0.0,163.18,11.842,WR,312,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,17037,"Gabriel, Dillon",QB,CLE,TAXI_SQUAD,0.0,2000,3,Rookie,CL 3| TCV 6K| AAV 2K,2,retain_existing,2000,0,0,OFFENSE,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,0,0.0,191.17,15.162,QB,114,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,14489,"Gillan, Jamie",PN,NYG,ROSTER,1.0,1000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,OFFENSE,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,1900.3,105.44,7.834,OFFENSE_ALL,883,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,14954,"Hawkins, Jaylinn",S,NEP,ROSTER,1.0,1000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,IDP_K,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,2317.92,98.55,7.344,IDP,172,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,17036,"Howard, Will",QB,PIT,TAXI_SQUAD,0.0,2000,3,Rookie,CL 3| TCV 6K| AAV 2K,2,retain_existing,2000,0,0,OFFENSE,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,0,0.0,191.17,15.162,QB,114,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,16201,"Hutchinson, Xavier",WR,HOU,ROSTER,1.0,1000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,OFFENSE,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,1900.3,99.02,7.342,WR,312,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,14864,"Johnson, Tyler",WR,NYJ,ROSTER,1.0,1000,1,WW,CL 1|,0,expiring_to_pool,0,0,0,OFFENSE,0,0,0,0,2026,,400.0,400.0,fallback_missing_adp,1,1900.3,99.02,7.342,WR,312,inv_sqrt_adp_weighted_linear,
2026,0002,CBP,13132,"Kamara, Alvin",RB,NOS,ROSTER,1.0,27000,1,Veteran,"CL 2| TCV 54K| AAV 27K| Y1-27, Y2-27,",0,expiring_to_pool,0,1,0,OFFENSE,30000,0,0,0,2026,194.0,17.083333333333332,194.0,sleeper_sf_slot,1,9195.31,91.39,6.875,RB,256,inv_sqrt_adp_weighted_linear,exact_salary_match
