season,franchise_id,team_name,cap_start,prior_season,prior_end_week,prior_end_salary,proxy_cap_space_before_txn,freeagent_winning_spend,proxy_cap_space_after_freeagent_auction
2020,0002,The Bash Bros,300000.49,2019,16,324000,-23999.51,15000,-38999.51
2020,0003,Gride,300000.49,2019,16,309000,-8999.51,47000,-55999.51
2020,0004,Pure Greatness,300000.49,2019,16,291000,9000.49,60000,-50999.51
2020,0005,Run CMC,300000.49,2019,16,308000,-7999.51,66000,-73999.51
2020,0006,Good in Da Hood,300000.49,2019,16,264000,36000.49,62000,-25999.51
2020,0007,Sex Manther,300000.49,2019,16,304000,-3999.51,74000,-77999.51
2020,0008,#BLM,300000.49,2019,16,304000,-3999.51,26000,-29999.51
2020,0009,C-Town Chivalry,300000.49,2019,16,314000,-13999.51,23000,-36999.51
2020,0010,Blake Bombers,300000.49,2019,16,296000,4000.49,113000,-108999.51
2020,0011,Cleon Ca$h,300000.49,2019,16,310000,-9999.51,41000,-50999.51
2020,0012,Hawks,300000.49,2019,16,228000,72000.49,55000,17000.49
2021,0001,Ulterior Warrior,300000.49,2020,22,345000,-44999.51,58000,-102999.51
2021,0002,The Bash Bros,300000.49,2020,22,343000,-42999.51,81000,-123999.51
2021,0003,Gride,300000.49,2020,22,257000,43000.49,65000,-21999.51
2021,0004,Pure Greatness,300000.49,2020,22,302000,-1999.51,62000,-63999.51
2021,0005,Run CMC,300000.49,2020,22,287000,13000.49,102000,-88999.51
2021,0006,Good in Da Hood,300000.49,2020,22,326000,-25999.51,67000,-92999.51
2021,0007,Sex Manther,300000.49,2020,22,305000,-4999.51,55000,-59999.51
2021,0008,#BLM,300000.49,2020,22,342000,-41999.51,85000,-126999.51
2021,0009,C-Town Chivalry,300000.49,2020,22,341000,-40999.51,41000,-81999.51
2021,0010,Blake Bombers,300000.49,2020,22,289000,11000.49,20000,-8999.51
2021,0011,Cleon Ca$h,300000.49,2020,22,259000,41000.49,68000,-26999.51
2021,0012,Hawks,300000.49,2020,22,274000,26000.49,54000,-27999.51
2022,0001,Ulterior Warrior,300000.49,2021,23,311000,-10999.51,96000,-106999.51
2022,0002,The Bash Bros,300000.49,2021,23,348000,-47999.51,96000,-143999.51
2022,0003,Gride,300000.49,2021,23,293000,7000.49,74000,-66999.51
2022,0004,Pure Greatness,300000.49,2021,23,296000,4000.49,58000,-53999.51
2022,0005,Run CMC,300000.49,2021,23,324000,-23999.51,109000,-132999.51
2022,0006,Good in Da Hood,300000.49,2021,23,376000,-75999.51,54000,-129999.51
2022,0007,Sex Manther,300000.49,2021,23,367000,-66999.51,97000,-163999.51
2022,0008,#BLM,300000.49,2021,23,257000,43000.49,54000,-10999.51
2022,0009,C-Town Chivalry,300000.49,2021,23,248000,52000.49,163000,-110999.51
2022,0010,Blake Bombers,300000.49,2021,23,360000,-59999.51,125000,-184999.51
2022,0011,Cleon Ca$h,300000.49,2021,23,320000,-19999.51,81000,-100999.51
2022,0012,Hawks,300000.49,2021,23,257000,43000.49,41000,2000.49
2023,0001,Ulterior Warrior,300000.49,2022,23,295000,5000.49,33000,-27999.51
2023,0002,CBP,300000.49,2022,23,278000,22000.49,18000,4000.49
2023,0003,Gride,300000.49,2022,23,322000,-21999.51,47000,-68999.51
2023,0004,Pure Greatness,300000.49,2022,23,342000,-41999.51,86000,-127999.51
2023,0005,HammerTime 🔨 ⏰,300000.49,2022,23,298000,2000.49,98000,-95999.51
2023,0006,The Main Event Mafia,300000.49,2022,23,374000,-73999.51,14000,-87999.51
2023,0007,Sex Manther,300000.49,2022,23,268000,32000.49,43000,-10999.51
2023,0008,Real Deal Creel,300000.49,2022,23,327000,-26999.51,122000,-148999.51
2023,0009,C-Town Chivalry,300000.49,2022,23,377000,-76999.51,25000,-101999.51
2023,0010,Blake Bombers,300000.49,2022,23,253000,47000.49,33000,14000.49
2023,0011,Cleon Ca$h,300000.49,2022,23,259000,41000.49,117000,-75999.51
2023,0012,Hawks,300000.49,2022,23,268000,32000.49,34000,-1999.51
2024,0001,Ulterior Warrior,300000.49,2023,23,336000,-35999.51,74000,-109999.51
2024,0002,CBP,300000.49,2023,23,314000,-13999.51,45000,-58999.51
2024,0003,Gride,300000.49,2023,23,277000,23000.49,87000,-63999.51
2024,0004,Pure Greatness,300000.49,2023,23,220000,80000.49,134000,-53999.51
2024,0005,HammerTime 🔨 ⏰,300000.49,2023,23,392000,-91999.51,52000,-143999.51
2024,0006,The Main Event Mafia,300000.49,2023,23,273000,27000.49,17000,10000.49
2024,0007,Sex Manther,300000.49,2023,23,315000,-14999.51,114000,-128999.51
2024,0008,Real Deal Creel,300000.49,2023,23,346000,-45999.51,57000,-102999.51
2024,0009,C-Town Chivalry,300000.49,2023,23,161000,139000.49,54000,85000.49
2024,0010,Blake Bombers,300000.49,2023,23,375000,-74999.51,24000,-98999.51
2024,0011,Cleon Ca$h,300000.49,2023,23,304000,-3999.51,50000,-53999.51
2024,0012,Hawks,300000.49,2023,23,267000,33000.49,68000,-34999.51
2025,0001,L.A. Looks,300000.49,2024,23,316000,-15999.51,83000,-98999.51
2025,0002,CBP,300000.49,2024,23,313000,-12999.51,13000,-25999.51
2025,0003,Gride,300000.49,2024,23,280000,20000.49,103000,-82999.51
2025,0004,Pure Greatness,300000.49,2024,23,253000,47000.49,152000,-104999.51
2025,0005,HammerTime 🔨 ⏰,300000.49,2024,23,353000,-52999.51,60000,-112999.51
2025,0006,The Long Haulers,300000.49,2024,23,289000,11000.49,47000,-35999.51
2025,0007,Sex Manther,300000.49,2024,23,291000,9000.49,65000,-55999.51
2025,0008,Real Deal Creel,300000.49,2024,23,384000,-83999.51,66000,-149999.51
2025,0009,C-Town Chivalry,300000.49,2024,23,337000,-36999.51,14000,-50999.51
2025,0010,Blake Bombers,300000.49,2024,23,281000,19000.49,104000,-84999.51
2025,0011,Cleon Ca$h,300000.49,2024,23,289000,11000.49,79000,-67999.51
2025,0012,Hawks,300000.49,2024,23,335000,-34999.51,12000,-46999.51
