input_name,input_position,input_team,sleeper_slot,average_pick,resolved_player_name,resolved_player_id,status,confidence
Quinn Ewers,QB,MIA,23.11,275.0,"Ewers, Quinn",17034,matched,1.0
Keaton Mitchell,RB,BAL,23.12,276.0,"Mitchell, Keaton",16178,matched,1.0
Kendre Miller,RB,NO,24.1,277.0,"Miller, Kendre",16171,matched,1.0
Darius Slayton,WR,NYG,24.2,278.0,"Slayton, Darius",14122,matched,1.0
Jaydon Blue,RB,DAL,24.3,279.0,"Blue, Jaydon",17069,matched,1.0
Tez Johnson,WR,TB,24.4,280.0,"Johnson, Tez",17079,matched,1.0
Demario Douglas,WR,NE,24.5,281.0,"Douglas, Demario",16342,matched,1.0
Josh Cameron,WR,RK,24.6,282.0,"Allen, Josh",13589,rejected_low_confidence,0.7
Joe Fagnano,QB,RK,24.7,283.0,,,unmatched,0.0
Jaylen Wright,RB,MIA,24.8,284.0,"Wright, Jaylen",16610,matched,1.0
Brashard Smith,RB,KC,24.9,285.0,"Smith, Brashard",17049,matched,1.0
Isaiah Davis,RB,NYJ,24.10,286.0,"Davis, Isaiah",16752,matched,1.0
Aaron Rodgers,QB,PIT,24.11,287.0,"Rodgers, Aaron",7836,matched,1.0
Michael Mayer,TE,LVR,24.12,288.0,"Mayer, Michael",16212,matched,1.0
Ja'Tavion Sanders,TE,CAR,25.1,289.0,"Sanders, Ja'Tavion",16643,matched,1.0
Mike Gesicki,TE,CIN,25.2,290.0,"Gesicki, Mike",13672,matched,1.0
Devin Singletary,RB,NYG,25.3,291.0,"Singletary, Devin",14080,matched,1.0
Joe Flacco,QB,UNS,25.4,292.0,"Flacco, Joe",9064,matched,1.0
Roman Wilson,WR,PIT,25.5,293.0,"Wilson, Roman",16629,matched,1.0
Kareem Hunt,RB,UNS,25.6,294.0,"Hunt, Kareem",13138,matched,1.0
Isaac Guerendo,RB,SF,25.7,295.0,"Guerendo, Isaac",16688,matched,1.0
Nick Chubb,RB,UNS,25.8,296.0,"Chubb, Nick",13610,matched,1.0
Aaron Anderson,WR,RK,25.10,298.0,"Rodgers, Aaron",7836,rejected_low_confidence,0.72
Joshua Palmer,WR,BUF,25.11,299.0,,,unmatched,0.0
Michael Carter,RB,UNS,25.12,300.0,"Carter, Michael",15258,matched,1.0
