position,season,prior_season,player_id,player_name,franchise_id,prior_team_name,team_name,prior_status,cur_status,prior_salary,cur_salary,salary_jump_x,prior_cy,cur_cy,extension_flag,restructure_flag,mym_flag,contract_info,inferred_extension_term,inferred_extension_rate,reasons
RB,2020,2019,13128,"Cook, Dalvin",0009,C-Town Chivalry,C-Town Chivalry,Rookie/Veteran GF,Veteran GF,10000,30000,3.0,3,2,0,0,0,"Ext. By Mather '20/'21 [10K, 30K, 30K]",0,0,rookie_to_vet_no_flag;salary_jump_no_flag
RB,2020,2019,13130,"McCaffrey, Christian",0003,Run CMC,Gride,Rookie/Veteran GF,FL,15000,55000,3.67,3,2,0,0,0,"Ext. Gordon '20/'21 TCV 70K AAV 35K [55K, 15K]",0,0,salary_jump_no_flag
RB,2020,2019,13131,"Mixon, Joe",0002,Hawks,The Bash Bros,Rookie/Veteran,Veteran,13000,33000,2.54,3,2,0,0,0,Ext. GRide '20/21 TCV 79K,0,0,rookie_to_vet_no_flag;salary_jump_no_flag
RB,2022,2021,13131,"Mixon, Joe",0008,The Bash Bros,#BLM,Veteran,Veteran,33000,51000,1.55,1,1,0,0,0,CL 1|Returns to FA in '23,0,0,salary_jump_no_flag
RB,2020,2019,13132,"Kamara, Alvin",0010,Gride,Blake Bombers,Rookie/Veteran,Veteran,5000,25000,5.0,3,2,0,0,0,Ext. CTown '20/21 TCV 55K,0,0,rookie_to_vet_no_flag;salary_jump_no_flag
RB,2022,2021,13132,"Kamara, Alvin",0007,Sex Manther,Sex Manther,Veteran,Veteran,25000,45000,1.8,3,2,0,0,0,CL 3| TCV 115K| AAV 45K| Y1-25 Y2-45 Y3-45,0,0,salary_jump_no_flag
RB,2023,2022,13134,"Foreman, D'Onta",0004,Good in Da Hood,Pure Greatness,WW,WW,1000,16000,16.0,1,1,0,0,0,,0,0,salary_jump_no_flag
RB,2021,2020,13138,"Hunt, Kareem",0010,Blake Bombers,Blake Bombers,Veteran,Veteran,19000,29000,1.53,2,1,0,0,0,CL 2| TCV 48K,0,0,salary_jump_no_flag
RB,2025,2024,13138,"Hunt, Kareem",0004,Real Deal Creel,Pure Greatness,WW,Veteran,1000,5000,5.0,1,1,0,0,0,CL 1|,0,0,salary_jump_no_flag
RB,2021,2020,13146,"Conner, James",0005,Ulterior Warrior,Run CMC,Veteran,Veteran,15000,25000,1.67,2,1,0,0,0,CL 2| TCV 40K,0,0,salary_jump_no_flag
RB,2021,2020,13290,"Cohen, Tarik",0009,Gride,C-Town Chivalry,Veteran,Veteran,12000,1000,0.08,1,3,0,0,0,CL 3| TCV 3K| AAV 1K,0,0,contract_year_reset_no_flag
RB,2023,2022,13319,"Jones, Aaron",0005,#BLM,HammerTime 🔨 ⏰,FL,Tag,22000,41000,1.86,1,1,0,0,0,CL 1|Returns to FA in '24,0,0,salary_jump_no_flag
