year,player_id,nominator_fid,winner_fid,winning_bid_dollars,first_bid_at_utc,won_at_utc,duration_hrs_raw,duration_hrs_capped48,total_bids,forced_increases,overtakes,by_commish
2021,11674,0001,0004,9000,2021-08-01 13:54:46,2021-08-03 00:03:21,34.14,34.14,7,5,1,0
2021,11695,0012,0012,1000,2021-08-03 03:21:32,2021-08-04 17:31:34,38.17,38.17,2,0,0,0
2021,11747,0006,0008,9000,2021-08-02 16:08:49,2021-08-04 09:12:40,41.06,41.06,6,2,3,0
2021,11761,0008,0001,3000,2021-08-04 07:31:37,2021-08-06 03:52:46,44.35,44.35,3,1,1,0
2021,11769,0009,0009,2000,2021-08-02 11:04:21,2021-08-03 11:09:16,24.08,24.08,2,1,0,0
2021,12075,0001,0002,4000,2021-07-31 22:32:49,2021-08-02 19:40:52,45.13,45.13,4,1,2,0
2021,12088,0003,0006,3000,2021-08-03 04:51:04,2021-08-05 04:18:06,47.45,47.45,3,1,1,0
2021,12140,0008,0005,2000,2021-08-01 04:02:30,2021-08-02 19:48:34,39.77,39.77,2,0,1,0
2021,12151,0010,0001,10000,2021-07-31 20:25:26,2021-08-01 20:53:21,24.47,24.47,6,4,1,0
2021,12152,0012,0012,4000,2021-08-03 17:31:22,2021-08-05 01:01:33,31.5,31.5,4,1,2,0
2021,12171,0004,0012,16000,2021-07-31 23:54:44,2021-08-03 04:08:26,52.23,48.0,8,3,4,0
2021,12187,0005,0003,37000,2021-07-31 19:01:03,2021-08-02 19:00:40,47.99,47.99,8,6,1,0
2021,12197,0002,0012,4000,2021-08-03 13:42:16,2021-08-05 01:22:06,35.66,35.66,3,0,2,0
2021,12221,0012,0007,8000,2021-08-02 04:10:18,2021-08-04 02:52:04,46.7,46.7,6,3,2,0
2021,12225,0006,0006,2000,2021-08-04 16:08:10,2021-08-05 16:13:34,24.09,24.09,2,1,0,0
2021,12239,0002,0002,4000,2021-08-01 19:39:00,2021-08-02 19:40:52,24.03,24.03,2,1,0,0
2021,12437,0004,0001,2000,2021-08-02 09:31:31,2021-08-04 02:22:56,40.86,40.86,2,0,1,0
2021,12447,0012,0007,15000,2021-07-31 23:39:50,2021-08-02 18:39:51,43.0,43.0,9,4,4,0
2021,12620,0005,0005,45000,2021-07-31 19:00:19,2021-08-01 19:00:25,24.0,24.0,7,6,0,0
2021,12630,0006,0005,10000,2021-08-01 05:21:51,2021-08-03 00:49:40,43.46,43.46,5,2,2,0
2021,12650,0006,0008,21000,2021-08-01 00:25:36,2021-08-03 02:46:00,50.34,48.0,5,1,3,0
2021,12658,0001,0012,5000,2021-08-05 03:53:20,2021-08-06 17:57:40,38.07,38.07,3,1,1,0
2021,12677,0008,0008,3000,2021-08-01 04:04:20,2021-08-02 04:06:20,24.03,24.03,3,2,0,0
2021,12688,0011,0007,3000,2021-08-02 20:55:06,2021-08-04 14:45:55,41.85,41.85,3,0,2,0
2021,12702,0003,0009,3000,2021-08-04 05:08:19,2021-08-05 12:22:04,31.23,31.23,2,0,1,0
2021,12718,0005,0005,4000,2021-08-03 04:01:05,2021-08-04 04:02:15,24.02,24.02,4,3,0,0
2021,12741,0008,0010,2000,2021-08-05 19:17:28,2021-08-07 02:02:04,30.74,30.74,2,0,1,0
2021,12745,0011,0011,4000,2021-08-01 23:10:29,2021-08-02 23:11:11,24.01,24.01,2,1,0,0
2021,12752,0002,0002,3000,2021-08-02 13:15:06,2021-08-03 13:17:45,24.04,24.04,2,1,0,0
2021,13108,0008,0009,10000,2021-08-02 08:50:31,2021-08-04 23:24:18,62.56,48.0,8,3,4,0
2021,13154,0010,0010,6000,2021-08-02 11:06:02,2021-08-03 11:09:16,24.05,24.05,5,4,0,0
2021,13157,0003,0001,12000,2021-08-01 02:42:39,2021-08-02 04:29:28,25.78,25.78,6,4,1,0
2021,13188,0011,0011,4000,2021-08-04 17:49:36,2021-08-05 17:50:28,24.01,24.01,2,1,0,0
2021,13189,0012,0003,6000,2021-07-31 23:37:20,2021-08-03 01:11:00,49.56,48.0,5,1,3,0
