season,position_filter,player_id,player_name,nfl_team,lineage_seq,owner_franchise_id,owner_team_name,stint_start_date,stint_end_date,acquire_source,close_source,week1_owner_franchise_id,week1_owner_team_name,prior_owner_franchise_id,prior_owner_team_name,week1_contract_info,prior_contract_info,generated_at_utc
2024,PN,14630,"Cole, A.J.",LVR,1,0012,Hawks,2024-03-01,2024-07-30,ROLLOVER_BASELINE,AUCTION:FreeAgent,0005,HammerTime 🔨 ⏰,0012,Hawks,CL 1|,,2026-04-21 22:10:36
2024,PN,14630,"Cole, A.J.",LVR,2,0005,HammerTime 🔨 ⏰,2024-07-30,2024-10-24,AUCTION:FreeAgent,ADDDROP:BBID,0005,HammerTime 🔨 ⏰,0012,Hawks,CL 1|,,2026-04-21 22:10:36
2024,PN,14630,"Cole, A.J.",LVR,3,0008,Real Deal Creel,2024-11-09,2024-12-05,ADDDROP:BBID,ADDDROP:BBID,0005,HammerTime 🔨 ⏰,0012,Hawks,CL 1|,,2026-04-21 22:10:36
2024,PN,14630,"Cole, A.J.",LVR,4,0002,CBP,2024-12-07,2024-12-10,ADDDROP:BBID,ADDDROP:FREE_AGENT,0005,HammerTime 🔨 ⏰,0012,Hawks,CL 1|,,2026-04-21 22:10:36
2025,PN,14630,"Cole, A.J.",LVR,1,0011,Cleon Ca$h,2025-03-01,2025-10-10,WEEK1_SNAPSHOT,ADDDROP:BBID,0011,Cleon Ca$h,,,CL 1|,,2026-04-21 22:10:39
2025,PN,14630,"Cole, A.J.",LVR,2,0001,L.A. Looks,2025-12-04,2025-12-11,ADDDROP:BBID,ADDDROP:BBID,0011,Cleon Ca$h,,,CL 1|,,2026-04-21 22:10:39
2017,PN,9712,"Colquitt, Britton",CLE,1,0012,White Power,2017-03-01,2017-08-08,WEEK1_SNAPSHOT,AUCTION:FreeAgent,0012,White Power,,,,,2026-04-21 22:10:02
2017,PN,9712,"Colquitt, Britton",CLE,2,0005,C'mon Son,2017-08-08,2017-11-05,AUCTION:FreeAgent,ADDDROP:FREE_AGENT,0012,White Power,,,,,2026-04-21 22:10:02
2017,PN,9712,"Colquitt, Britton",CLE,3,0012,White Power,2017-11-16,2017-12-25,ADDDROP:BBID,SEASON_END,0012,White Power,,,,,2026-04-21 22:10:02
2018,PN,9712,"Colquitt, Britton",CLE,1,0012,White Power,2018-03-01,2018-09-19,ROLLOVER_BASELINE,ADDDROP:BBID,,,0012,White Power,,,2026-04-21 22:10:05
2018,PN,9712,"Colquitt, Britton",CLE,2,0008,Gordon Is The New Blackmon,2018-09-19,2018-12-24,ADDDROP:BBID,SEASON_END,,,0012,White Power,,,2026-04-21 22:10:05
2019,PN,9712,"Colquitt, Britton",CLE,1,0008,Gordon Is The New Blackmon,2019-03-01,2019-12-11,ROLLOVER_BASELINE,ADDDROP:BBID,,,0008,Gordon Is The New Blackmon,,,2026-04-21 22:10:10
2019,PN,9712,"Colquitt, Britton",CLE,2,0009,C-Town Chivalry,2019-12-11,2019-12-23,ADDDROP:BBID,SEASON_END,,,0008,Gordon Is The New Blackmon,,,2026-04-21 22:10:10
