season,position_filter,player_id,player_name,nfl_team,lineage_seq,owner_franchise_id,owner_team_name,stint_start_date,stint_end_date,acquire_source,close_source,week1_owner_franchise_id,week1_owner_team_name,prior_owner_franchise_id,prior_owner_team_name,week1_contract_info,prior_contract_info,generated_at_utc
2025,CB,16670,,,1,0008,Real Deal Creel,2025-12-27,2025-12-29,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:14:34
2024,CB,15394,"Adebo, Paulson",NOS,1,0003,Gride,2024-03-01,2024-05-10,ROLLOVER_BASELINE,ADDDROP:FREE_AGENT,,,0003,Gride,,,2026-04-21 22:14:29
2024,CB,15394,"Adebo, Paulson",NOS,2,0006,The Long Haulers,2024-10-03,2024-10-24,ADDDROP:BBID,ADDDROP:BBID,,,0003,Gride,,,2026-04-21 22:14:29
2024,CB,15394,"Adebo, Paulson",NOS,3,0001,Ulterior Warrior,2024-11-10,2024-12-30,ADDDROP:BBID,SEASON_END,,,0003,Gride,,,2026-04-21 22:14:29
2025,CB,15394,"Adebo, Paulson",NYG,1,0001,Ulterior Warrior,2025-03-01,2025-11-06,ROLLOVER_BASELINE,ADDDROP:BBID,0001,L.A. Looks,0001,Ulterior Warrior,CL 1|,"CL 2| TCV 2K| AAV 1K| Y1-1, Y2-1",2026-04-21 22:14:34
2025,CB,15394,"Adebo, Paulson",NYG,2,0005,HammerTime 🔨 ⏰,2025-12-27,2025-12-29,ADDDROP:BBID,SEASON_END,0001,L.A. Looks,0001,Ulterior Warrior,CL 1|,"CL 2| TCV 2K| AAV 1K| Y1-1, Y2-1",2026-04-21 22:14:34
2019,CB,13730,"Alexander, Jaire",GBP,1,0001,Ulterior Warrior,2019-03-01,2019-04-29,ROLLOVER_BASELINE,FREE_AGENT,0001,Ulterior Warrior,0001,Ulterior Warrior,,,2026-04-21 22:14:08
2019,CB,13730,"Alexander, Jaire",GBP,2,0001,Ulterior Warrior,2019-05-05,2019-10-20,AUCTION:TagOrExpiredRookie,TRADE,0001,Ulterior Warrior,0001,Ulterior Warrior,,,2026-04-21 22:14:08
2019,CB,13730,"Alexander, Jaire",GBP,3,0008,#BLM,2019-10-20,2019-10-23,TRADE,ADDDROP:BBID,0001,Ulterior Warrior,0001,Ulterior Warrior,,,2026-04-21 22:14:08
2019,CB,12715,"Apple, Eli",NOS,1,0007,Sex Manther,2019-03-01,2019-03-03,ROLLOVER_BASELINE,FREE_AGENT,,,0007,Sex Manther,,,2026-04-21 22:14:08
2022,CB,13263,"Awuzie, Chidobe",CIN,1,0002,The Bash Bros,2022-03-01,2022-10-25,WEEK1_SNAPSHOT,ADDDROP:FREE_AGENT,0002,The Bash Bros,,,CL 1,,2026-04-21 22:14:21
2019,CB,14178,"Baker, Deandre",NYG,1,0005,Run CMC,2019-03-01,2019-11-16,WEEK1_SNAPSHOT,ADDDROP:BBID,0005,Run CMC,,,,,2026-04-21 22:14:08
2024,CB,16255,"Banks, Deonte",NYG,1,0002,CBP,2024-03-01,2024-03-07,ROLLOVER_BASELINE,ADDDROP:FREE_AGENT,,,0002,CBP,,,2026-04-21 22:14:29
2024,CB,15904,"Bland, DaRon",DAL,1,0003,Gride,2024-03-01,2024-03-21,ROLLOVER_BASELINE,ADDDROP:FREE_AGENT,0003,Gride,0003,Gride,CL 1|,,2026-04-21 22:14:29
2024,CB,15904,"Bland, DaRon",DAL,2,0003,Gride,2024-08-04,2024-11-14,AUCTION:FreeAgent,ADDDROP:BBID,0003,Gride,0003,Gride,CL 1|,,2026-04-21 22:14:29
2018,CB,11512,"Bouye, A.J.",JAC,1,0005,C'mon Son,2018-03-01,2018-10-31,WEEK1_SNAPSHOT,ADDDROP:BBID,0005,C'mon Son,,,,,2026-04-21 22:14:02
2020,CB,12750,"Bradberry, James",CAR,1,0003,Gride,2020-03-01,2020-04-17,ROLLOVER_BASELINE,ADDDROP:FREE_AGENT,,,0003,Gride,,,2026-04-21 22:14:12
2020,CB,12750,"Bradberry, James",CAR,2,0012,Hawks,2020-11-01,2020-11-29,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,0003,Gride,,,2026-04-21 22:14:12
2022,CB,12817,"Brown, Anthony",DAL,1,0003,Gride,2022-03-01,2022-03-10,ROLLOVER_BASELINE,FREE_AGENT,,,0003,Gride,,CL 1|,2026-04-21 22:14:21
2021,CB,11965,"Butler, Malcolm",TEN,1,0004,Pure Greatness,2021-03-01,2021-05-06,ROLLOVER_BASELINE,FREE_AGENT,,,0004,Pure Greatness,,,2026-04-21 22:14:16
2021,CB,11965,"Butler, Malcolm",TEN,2,0003,Gride,2021-08-09,2021-09-05,AUCTION:FreeAgent,ADDDROP:FREE_AGENT,,,0004,Pure Greatness,,,2026-04-21 22:14:16
2021,CB,13710,"Davis, Carlton",TBB,1,0012,Hawks,2021-03-01,2022-01-03,WEEK1_SNAPSHOT,SEASON_END,0012,Hawks,,,CL 1|,,2026-04-21 22:14:16
2022,CB,13710,"Davis, Carlton",TBB,1,0012,Hawks,2022-03-01,2022-02-23,ROLLOVER_BASELINE,ADDDROP:FREE_AGENT,,,0012,Hawks,,CL 1|,2026-04-21 22:14:21
2022,CB,13710,"Davis, Carlton",TBB,2,0004,Pure Greatness,2022-09-25,2022-10-08,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,0012,Hawks,,CL 1|,2026-04-21 22:14:21
2018,CB,13739,"Dawson, Duke",NEP,1,0012,White Power,2018-03-01,2018-09-27,WEEK1_SNAPSHOT,ADDDROP:BBID,0012,White Power,,,,,2026-04-21 22:14:02
2025,CB,16675,"DeJean, Cooper",PHI,1,0008,Real Deal Creel,2025-03-01,2025-05-17,ROLLOVER_BASELINE,FREE_AGENT,0003,Gride,0008,Real Deal Creel,CL 1|,CL 1|,2026-04-21 22:14:34
2025,CB,16675,"DeJean, Cooper",PHI,2,0003,Gride,2025-05-25,2025-10-02,AUCTION:TagOrExpiredRookie,TRADE,0003,Gride,0008,Real Deal Creel,CL 1|,CL 1|,2026-04-21 22:14:34
2025,CB,16675,"DeJean, Cooper",PHI,3,0004,Pure Greatness,2025-10-02,2025-12-29,TRADE,SEASON_END,0003,Gride,0008,Real Deal Creel,CL 1|,CL 1|,2026-04-21 22:14:34
