season,position_filter,player_id,player_name,nfl_team,lineage_seq,owner_franchise_id,owner_team_name,stint_start_date,stint_end_date,acquire_source,close_source,week1_owner_franchise_id,week1_owner_team_name,prior_owner_franchise_id,prior_owner_team_name,week1_contract_info,prior_contract_info,generated_at_utc
2020,PK,14600,,,1,0006,Good in Da Hood,2020-10-01,2020-10-08,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:38
2020,PK,13832,,,1,0001,Ulterior Warrior,2020-10-11,2020-10-21,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,,,,,2026-04-21 22:09:38
2020,PK,14600,,,2,0010,Blake Bombers,2020-10-14,2020-12-03,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:38
2020,PK,9694,,,1,0002,The Bash Bros,2020-10-15,2020-10-27,ADDDROP:BBID,FREE_AGENT,,,,,,,2026-04-21 22:09:38
2020,PK,11966,,,1,0009,C-Town Chivalry,2020-10-17,2020-11-04,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:38
2020,PK,10862,,,2,0005,Run CMC,2020-10-21,2020-11-15,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:38
2020,PK,13718,,,2,0001,Ulterior Warrior,2020-10-21,2020-12-05,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:38
2020,PK,9686,,,1,0010,Blake Bombers,2020-10-22,2020-10-23,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:38
2020,PK,9686,,,2,0011,Cleon Ca$h,2020-10-25,2020-10-31,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:38
2020,PK,14983,,,1,0004,Pure Greatness,2020-10-28,2020-12-28,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:38
2020,PK,9686,,,3,0009,C-Town Chivalry,2020-11-04,2020-12-02,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:38
2020,PK,13832,,,2,0005,Run CMC,2020-11-05,2020-12-28,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:38
2020,PK,9694,,,2,0003,Gride,2020-11-14,2020-11-26,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:38
2020,PK,10862,,,3,0003,Gride,2020-11-18,2020-12-10,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:38
2020,PK,12437,,,1,0009,C-Town Chivalry,2020-12-02,2020-12-28,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:38
2020,PK,11945,,,1,0001,Ulterior Warrior,2020-12-06,2020-12-13,ADDDROP:FREE_AGENT,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:38
2020,PK,11387,,,1,0003,Gride,2020-12-10,2020-12-28,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:38
2020,PK,9694,,,3,0001,Ulterior Warrior,2020-12-13,2020-12-28,ADDDROP:FREE_AGENT,SEASON_END,,,,,,,2026-04-21 22:09:38
2021,PK,13718,,,1,0007,Sex Manther,2021-08-08,2021-09-01,AUCTION:FreeAgent,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:44
2021,PK,15516,,,1,0007,Sex Manther,2021-08-14,2021-08-20,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:44
2021,PK,15368,,,1,0001,Ulterior Warrior,2021-09-16,2021-09-30,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:44
2021,PK,13718,,,2,0010,Blake Bombers,2021-09-16,2021-10-28,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:44
2021,PK,11947,,,1,0001,Ulterior Warrior,2021-09-30,2021-11-14,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:44
2021,PK,13898,,,1,0006,Good in Da Hood,2021-10-01,2021-10-07,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:44
2021,PK,14717,,,1,0004,Pure Greatness,2021-10-02,2021-11-25,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:44
2021,PK,8930,,,1,0006,Good in Da Hood,2021-10-07,2021-11-26,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:44
2021,PK,10862,,,1,0005,Run CMC,2021-10-08,2021-10-14,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:44
2021,PK,8851,,,1,0005,Run CMC,2021-10-14,2022-01-03,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:44
2021,PK,13898,,,2,0007,Sex Manther,2021-10-17,2022-01-03,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:44
2021,PK,8742,,,1,0002,The Bash Bros,2021-10-21,2021-10-24,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:44
2021,PK,10862,,,2,0007,Sex Manther,2021-10-21,2021-10-28,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:44
2021,PK,15368,,,2,0011,Cleon Ca$h,2021-10-28,2021-11-06,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:44
2021,PK,10862,,,3,0012,Hawks,2021-11-04,2021-12-03,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:44
2021,PK,11936,,,1,0009,C-Town Chivalry,2021-11-11,2022-01-03,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:44
2021,PK,13718,,,3,0008,#BLM,2021-11-11,2021-11-18,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:44
2021,PK,13347,,,1,0003,Gride,2021-11-18,2021-12-04,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:09:44
2021,PK,13303,,,1,0006,Good in Da Hood,2021-11-25,2021-12-01,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:44
2021,PK,15368,,,3,0004,Pure Greatness,2021-11-25,2022-01-03,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:44
2021,PK,13718,,,4,0010,Blake Bombers,2021-12-02,2022-01-03,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:44
2021,PK,13303,,,2,0001,Ulterior Warrior,2021-12-04,2022-01-03,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:44
2021,PK,13347,,,2,0001,Ulterior Warrior,2021-12-09,2021-12-19,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:44
2021,PK,8930,,,2,0008,#BLM,2021-12-09,2022-01-02,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:44
2021,PK,15369,,,1,0003,Gride,2021-12-23,2022-01-03,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:44
2021,PK,10862,,,4,0012,Hawks,2021-12-23,2022-01-03,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:09:44
2022,PK,13832,,,1,0002,The Bash Bros,2022-08-02,2022-09-02,AUCTION:FreeAgent,ADDDROP:BBID,,,,,,,2026-04-21 22:09:47
2022,PK,13403,,,1,0005,Run CMC,2022-08-03,2022-08-18,AUCTION:FreeAgent,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:09:47
2022,PK,14489,,,1,0002,The Bash Bros,2022-08-18,2023-01-02,TRADE,SEASON_END,,,,,,,2026-04-21 22:09:47
