season,position_filter,player_id,player_name,nfl_team,lineage_seq,owner_franchise_id,owner_team_name,stint_start_date,stint_end_date,acquire_source,close_source,week1_owner_franchise_id,week1_owner_team_name,prior_owner_franchise_id,prior_owner_team_name,week1_contract_info,prior_contract_info,generated_at_utc
2023,DT,14900,,,2,0010,Blake Bombers,2023-11-09,2023-11-26,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:12:28
2023,DT,12083,,,1,0006,The Main Event Mafia,2023-11-10,2023-11-15,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:12:28
2023,DT,12083,,,2,0006,The Main Event Mafia,2023-12-03,2023-12-31,ADDDROP:FREE_AGENT,SEASON_END,,,,,,,2026-04-21 22:12:28
2023,DT,16282,,,1,0003,Gride,2023-12-10,2023-12-14,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:12:28
2023,DT,14900,,,3,0003,Gride,2023-12-14,2023-12-28,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:12:28
2023,DT,14897,,,2,0006,The Main Event Mafia,2023-12-17,2023-12-31,ADDDROP:FREE_AGENT,SEASON_END,,,,,,,2026-04-21 22:12:28
2023,DT,13839,,,1,0005,HammerTime 🔨 ⏰,2023-12-29,2023-12-31,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:12:28
2023,DT,14900,,,4,0005,HammerTime 🔨 ⏰,2023-12-30,2023-12-31,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:12:28
2023,DT,14158,,,2,0002,CBP,2023-12-31,2023-12-31,ADDDROP:FREE_AGENT,SEASON_END,,,,,,,2026-04-21 22:12:28
2024,DT,16262,,,1,0011,Cleon Ca$h,2024-09-12,2024-12-30,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:12:35
2024,DT,14159,,,1,0002,CBP,2024-09-15,2024-09-19,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:12:35
2024,DT,14159,,,2,0005,HammerTime 🔨 ⏰,2024-09-26,2024-12-05,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:12:35
2024,DT,15819,,,1,0006,The Long Haulers,2024-09-27,2024-10-03,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:12:35
2024,DT,10266,,,1,0006,The Long Haulers,2024-10-03,2024-10-10,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:12:35
2024,DT,14153,,,1,0006,The Long Haulers,2024-10-03,2024-11-07,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:12:35
2024,DT,12754,,,1,0003,Gride,2024-10-06,2024-11-03,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,,,,,2026-04-21 22:12:35
2024,DT,15812,,,1,0003,Gride,2024-10-11,2024-10-26,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:12:35
2024,DT,16254,,,1,0005,HammerTime 🔨 ⏰,2024-10-17,2024-10-31,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:12:35
2024,DT,10266,,,2,0009,C-Town Chivalry,2024-10-17,2024-12-30,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:12:35
2024,DT,12691,,,1,0001,Ulterior Warrior,2024-10-20,2024-10-20,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:12:35
2024,DT,16282,,,1,0001,Ulterior Warrior,2024-10-20,2024-11-03,ADDDROP:FREE_AGENT,ADDDROP:BBID,,,,,,,2026-04-21 22:12:35
2024,DT,14153,,,2,0008,Real Deal Creel,2024-11-09,2024-12-30,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:12:35
2024,DT,13692,,,1,0002,CBP,2024-11-10,2024-11-12,ADDDROP:FREE_AGENT,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:12:35
2024,DT,13298,,,1,0003,Gride,2024-11-14,2024-12-06,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:12:35
2024,DT,9051,,,1,0007,Sex Manther,2024-11-14,2024-11-19,ADDDROP:BBID,ADDDROP:FREE_AGENT,,,,,,,2026-04-21 22:12:35
2024,DT,16282,,,2,0009,C-Town Chivalry,2024-11-17,2024-12-03,ADDDROP:FREE_AGENT,FREE_AGENT,,,,,,,2026-04-21 22:12:35
2024,DT,16254,,,2,0009,C-Town Chivalry,2024-11-21,2024-12-30,ADDDROP:BBID,SEASON_END,,,,,,,2026-04-21 22:12:35
2024,DT,9051,,,2,0012,Hawks,2024-11-23,2024-12-19,ADDDROP:BBID,ADDDROP:BBID,,,,,,,2026-04-21 22:12:35
